Location;Time;Happiness
NPL;2014;5
NPL;2015;4.8
NPL;2016;5.1
NPL;2017;4.7
NZL;2007;7.6
NZL;2008;7.4
NZL;2010;7.2
NZL;2011;7.2
NZL;2012;7.2
NZL;2013;7.3
NZL;2014;7.3
NZL;2015;7.4
NZL;2016;7.2
NZL;2017;7.3
OMN;2011;6.9
OWI;2012;5.5
OWI;2013;5.6
OWI;2014;5.8
OWI;2015;5.8
OWI;2016;5.8
OWI;2007;5.1
OWI;2008;5.5
OWI;2009;5.9
OWI;2010;5.2
OWI;2011;4.9
OWI;2012;5.6
OWI;2013;6.1
OWI;2014;5
OWI;2015;5.1
OWI;2016;5.8
OWI;2017;6.1
PAK;2007;5.7
PAK;2008;4.4
PAK;2009;5.2
PAK;2010;5.8
PAK;2011;5.3
PAK;2012;5.1
PAK;2013;5.1
PAK;2014;5.4
PAK;2015;4.8
PAK;2016;5.5
PAK;2017;5.8
PAN;2007;6.9
PAN;2008;6.9
PAN;2009;7
PAN;2010;7.3
PAN;2011;7.2
PAN;2012;6.9
PAN;2013;6.9
PAN;2014;6.6
PAN;2015;6.6
PAN;2016;6.1
PAN;2017;6.6
PER;2007;5.2
PER;2008;5.1
PER;2009;5.5
PER;2010;5.6
PER;2011;5.9
PER;2012;5.8
PER;2013;5.8
PER;2014;5.9
PER;2015;5.6
PER;2016;5.7
PER;2017;5.7
PHL;2007;5.1
PHL;2008;4.6
PHL;2009;4.9
PHL;2010;4.9
PHL;2011;5
PHL;2012;5
PHL;2013;5
PHL;2014;5.3
PHL;2015;5.5
PHL;2016;5.4
PHL;2017;5.6
POL;2007;5.9
POL;2009;5.8
POL;2010;5.9
POL;2011;5.6
POL;2012;5.9
POL;2013;5.7
POL;2014;5.8
POL;2015;6
POL;2016;6.2
POL;2017;6.2
PRT;2008;5.7
PRT;2010;5.1
PRT;2011;5.2
PRT;2012;5
PRT;2013;5.2
PRT;2014;5.1
PRT;2015;5.1
PRT;2016;5.4
PRT;2017;5.7
PRY;2007;5.3
PRY;2008;5.6
PRY;2009;5.6
PRY;2010;5.8
PRY;2011;5.7
PRY;2012;5.8
PRY;2013;5.9
PRY;2014;5.1
PRY;2015;5.6
PRY;2016;5.8
PRY;2017;5.7
PSE;2007;4.2
PSE;2008;4.4
PSE;2009;4.5
PSE;2010;4.7
PSE;2011;4.8
PSE;2012;4.6
PSE;2013;4.8
PSE;2014;4.7
PSE;2015;4.7
PSE;2016;4.9
PSE;2017;4.6
QAT;2009;6.4
QAT;2010;6.8
QAT;2011;6.6
QAT;2012;6.6
QAT;2015;6.4
ROU;2007;5.4
ROU;2009;5.4
ROU;2010;4.9
ROU;2011;5
ROU;2012;5.2
ROU;2013;5.1
ROU;2014;5.7
ROU;2015;5.8
ROU;2016;6
ROU;2017;6.1
RUS;2007;5.2
RUS;2008;5.6
RUS;2009;5.2
RUS;2010;5.4
RUS;2011;5.4
RUS;2012;5.6
RUS;2013;5.5
RUS;2014;6
RUS;2015;6
RUS;2016;5.9
RUS;2017;5.6
RWA;2008;4.4
RWA;2009;4
RWA;2011;4.1
RWA;2012;3.3
RWA;2013;3.5
RWA;2014;3.6
RWA;2015;3.5
RWA;2016;3.3
RWA;2017;3.1
SAU;2007;7.3
SAU;2008;6.8
SAU;2009;6.1
SAU;2010;6.3
SAU;2011;6.7
SAU;2012;6.4
SAU;2013;6.5
SAU;2014;6.3
SAU;2015;6.3
SAU;2016;6.5
SAU;2017;6.3
SDN;2009;4.5
SDN;2010;4.4
SDN;2011;4.3
SDN;2012;4.6
SDN;2014;4.1
SEN;2007;4.7
SEN;2008;4.7
SEN;2009;4.3
SEN;2010;4.4
SEN;2011;3.8
SEN;2012;3.7
SEN;2013;3.6
SEN;2014;4.4
SEN;2015;4.6
SEN;2016;4.6
SEN;2017;4.7
SGP;2007;6.8
SGP;2008;6.6
SGP;2009;6.1
SGP;2010;6.5
SGP;2011;6.6
SGP;2013;6.5
SGP;2014;7.1
SGP;2015;6.6
SGP;2016;6
SGP;2017;6.4
