alcohol,average_wages,cancer,employment_rate,happiness,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time,hours_worked,gdp,education
,,,,,,,BGR,,,,,,2009.0,,13883.771394,
,,,,3.9,,,BGR,,,,,,2010.0,,110445.9535,
,,,,3.9,,,BGR,,,,,,2010.0,,14659.107643000001,
,,,,3.9,,,BGR,,,,,,2011.0,,115193.3673,
,,,,3.9,,,BGR,,,,,,2011.0,,15676.13304,
,,,,4.2,,,BGR,,,,,,2012.0,,118415.9404,
,,,,4.2,,,BGR,,,,,,2012.0,,16208.288488999999,
,,,,4,,,BGR,,,,,,2013.0,,120389.8475,
,,,,4,,,BGR,,,,,,2013.0,,16570.948636,
,,,,4.4,,,BGR,,,,,,2014.0,,126666.8371,
,,,,4.4,,,BGR,,,,,,2014.0,,17534.319526,
,,,,4.9,,,BGR,,,,,,2015.0,,130542.1786,
,,,,4.9,,,BGR,,,,,,2015.0,,18186.450576,
,,,,4.8,,,BGR,,,,,,2016.0,,138995.0651,
,,,,4.8,,,BGR,,,,,,2016.0,,19500.357175999998,
,,,,5.1,,,BGR,,,,,,2017.0,,148228.6263,
,,,,5.1,,,BGR,,,,,,2017.0,,20948.240106999998,
,,,,5.7,,,BHR,,,,,,2009.0,,,
,,,,5.9,,,BHR,,,,,,2010.0,,,
,,,,4.8,,,BHR,,,,,,2011.0,,,
,,,,5,,,BHR,,,,,,2012.0,,,
,,,,6.7,,,BHR,,,,,,2013.0,,,
,,,,6.2,,,BHR,,,,,,2014.0,,,
,,,,6,,,BHR,,,,,,2015.0,,,
,,,,6.2,,,BHR,,,,,,2016.0,,,
,,,,6.2,,,BHR,,,,,,2017.0,,,
,,,,4.9,,,BIH,,,,,,2007.0,,,
,,,,5,,,BIH,,,,,,2009.0,,,
,,,,4.7,,,BIH,,,,,,2010.0,,,
,,,,5,,,BIH,,,,,,2011.0,,,
,,,,4.8,,,BIH,,,,,,2012.0,,,
,,,,5.1,,,BIH,,,,,,2013.0,,,
,,,,5.2,,,BIH,,,,,,2014.0,,,
,,,,5.1,,,BIH,,,,,,2015.0,,,
,,,,5.2,,,BIH,,,,,,2016.0,,,
,,,,5.1,,,BIH,,,,,,2017.0,,,
,,,,5.6,,,BLR,,,,,,2007.0,,,
,,,,5.5,,,BLR,,,,,,2008.0,,,
,,,,5.6,,,BLR,,,,,,2009.0,,,
,,,,5.5,,,BLR,,,,,,2010.0,,,
,,,,5.2,,,BLR,,,,,,2011.0,,,
,,,,5.7,,,BLR,,,,,,2012.0,,,
,,,,5.9,,,BLR,,,,,,2013.0,,,
,,,,5.8,,,BLR,,,,,,2014.0,,,
,,,,5.7,,,BLR,,,,,,2015.0,,,
,,,,5.2,,,BLR,,,,,,2016.0,,,
,,,,5.6,,,BLR,,,,,,2017.0,,,
,,,,6.5,,,BLZ,,,,,,2007.0,,,
,,,,6,,,BLZ,,,,,,2014.0,,,
,,,,5.6,,,BOL,,,,,,2007.0,,,
,,,,5.3,,,BOL,,,,,,2008.0,,,
,,,,6.1,,,BOL,,,,,,2009.0,,,
,,,,5.8,,,BOL,,,,,,2010.0,,,
,,,,5.8,,,BOL,,,,,,2011.0,,,
,,,,6,,,BOL,,,,,,2012.0,,,
,,,,5.8,,,BOL,,,,,,2013.0,,,
,,,,5.9,,,BOL,,,,,,2014.0,,,
,,,,5.8,,,BOL,,,,,,2015.0,,,
,,,,5.8,,,BOL,,,,,,2016.0,,,
,,,,5.7,,,BOL,,,,,,2017.0,,,
7.1,27.2,161.1,,6.3,72.8,17.5,BRA,,,15.6,,5.4,2007.0,,2388048.5507,36.80834599999999
7.1,27.2,161.1,,6.3,72.8,17.5,BRA,,,15.6,,5.4,2007.0,,12632.619712,36.80834599999999
7.1,28,161.4,,6.7,73.2,17.6,BRA,,,14.8,,5.5,2008.0,,2558849.6999,38.83816899999999
7.1,28,161.4,,6.7,73.2,17.6,BRA,,,14.8,,5.5,2008.0,,13396.398248,38.83816899999999
7.2,29.8,160.7,,7,73.5,17.7,BRA,,,14.3,,5.5,2009.0,,2575039.6296,40.67292
7.2,29.8,160.7,,7,73.5,17.7,BRA,,,14.3,,5.5,2009.0,,13343.494423,40.67292
7.4,,162.3,,6.8,73.9,17.8,BRA,,,14.1,,5.4,2010.0,,2803066.1101,
7.4,,162.3,,6.8,73.9,17.8,BRA,,,14.1,,5.4,2010.0,,14382.76105,
7.4,31.7,161.4,,7,74.2,17.5,BRA,,,13.4,,5.6,2011.0,,2974955.3451,43.270451
7.4,31.7,161.4,,7,74.2,17.5,BRA,,,13.4,,5.6,2011.0,,15131.733843,43.270451
7.3,32,162,,6.7,74.5,17.9,BRA,,,12.1,,5.8,2012.0,,3088323.9977,45.003657999999994
7.3,32,162,,6.7,74.5,17.9,BRA,,,12.1,,5.8,2012.0,,15572.826188,45.003657999999994
7.1,32.7,161.2,,7.1,74.8,17.9,BRA,,,11.3,,5.8,2013.0,,3232670.0783,46.411137
7.1,32.7,161.2,,7.1,74.8,17.9,BRA,,,11.3,,5.8,2013.0,,16163.011938,46.411137
7.2,33,160.3,,7,75,18.1,BRA,,,8.7,,5.7,2014.0,,3307409.5844,47.362995
7.2,33,160.3,,7,75,18.1,BRA,,,8.7,,5.7,2014.0,,16396.241834,47.362995
7,34.1,161.2,,6.5,75.3,18.2,BRA,,,7.2,,6,2015.0,,3224597.6859,48.872501
7,34.1,161.2,,6.5,75.3,18.2,BRA,,,7.2,,6,2015.0,,15847.582563,48.872501
6.3,33.6,,,6.4,75.5,,BRA,,,10.2,,,2016.0,,3156493.7668,50.509624
6.3,33.6,,,6.4,75.5,,BRA,,,10.2,,,2016.0,,15385.778312,50.509624
,34.1,,,6.3,75.7,,BRA,,,10.1,,,2017.0,,3237511.6319,51.300312
,34.1,,,6.3,75.7,,BRA,,,10.1,,,2017.0,,15651.388541999999,51.300312
,,,,,,,BRN,,,,,,2010.0,,,
,,,,,,,BRN,,,,,,2011.0,,,
,,,,,,,BRN,,,,,,2012.0,,,
,,,,,,,BRN,,,,,,2013.0,,,
,,,,,,,BRN,,,,,,2014.0,,,
,,,,,,,BRN,,,,,,2015.0,,,
,,,,,,,BRN,,,,,,2016.0,,,
,,,,,,,BRN,,,,,,2017.0,,,
,,,,,,,BTN,,,,,,2010.0,,,
,,,,,,,BTN,,,,,,2011.0,,,
,,,,,,,BTN,,,,,,2012.0,,,
,,,,5.6,,,BTN,,,,,,2013.0,,,
,,,,4.9,,,BTN,,,,,,2014.0,,,
,,,,5.1,,,BTN,,,,,,2015.0,,,
,,,,,,,BTN,,,,,,2016.0,,,
,,,,,,,BTN,,,,,,2017.0,,,
,,,,5.5,,,BWA,,,,,,2008.0,,,
,,,,3.6,,,BWA,,,,,,2010.0,,,
,,,,3.5,,,BWA,,,,,,2011.0,,,
,,,,4.8,,,BWA,,,,,,2012.0,,,
,,,,4.1,,,BWA,,,,,,2013.0,,,
,,,,4,,,BWA,,,,,,2014.0,,,
,,,,3.8,,,BWA,,,,,,2015.0,,,
,,,,3.5,,,BWA,,,,,,2016.0,,,
,,,,3.5,,,BWA,,,,,,2017.0,,,
,,,,4.2,,,CAF,,,,,,2007.0,,,
,,,,3.6,,,CAF,,,,,,2010.0,,,
,,,,3.7,,,CAF,,,,,,2011.0,,,
,,,,,,,CAF,,,,,,2012.0,,,
,,,,,,,CAF,,,,,,2013.0,,,
,,,,,,,CAF,,,,,,2014.0,,,
,,,,,,,CAF,,,,,,2015.0,,,
,,,,2.7,,,CAF,,,,,,2016.0,,,
,,,,3.5,,,CAF,,,,,,2017.0,,,
8.3,38.3,221.8,73.5,7.5,80.4,19.45,CAN,49.1,1744,18.2,6608.4,10.6,2007.0,1744.0,1300541.8517,86.505152
8.3,38.3,221.8,73.5,7.5,80.4,19.45,CAN,49.1,1744,18.2,6608.4,10.6,2007.0,1744.0,39544.657592,86.505152
8.4,38.3,218.1,73.5,7.5,80.6,19.6,CAN,54.75,1741,17.5,6569.5,10.7,2008.0,1741.0,1342397.4236,86.996478
8.4,38.3,218.1,73.5,7.5,80.6,19.6,CAN,54.75,1741,17.5,6569.5,10.7,2008.0,1741.0,40377.98801,86.996478
8.4,38.2,214.3,71.4,7.5,80.8,19.75,CAN,50,1712,16.2,7081.9,11.1,2009.0,1712.0,1308017.4298,87.531931
