alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
10.1,51.9,183.2,61856.1,79,51564.6,7.5,,82.3,20.6,CHE,,1650.8,,7918.6,13.4,2009
10,51.2,181.6,62002.9,77.3,52859.8,,94.2,82.6,20.75,CHE,,1624.3,,7968.9,11.9,2010
10,50.8,181.2,62107.9,78.3,56183.8,,95.4,82.8,20.9,CHE,,1619.3,,7974.7,12.1,2011
9.9,50.4,177.7,63207.3,78.5,57849.6,7.8,93.1,82.8,20.8,CHE,41,1603.2,20.4,8161.7,12,2012
9.8,49,175.9,64180.9,78.4,60108.5,,88.6,82.9,20.9,CHE,,1582.9,,8299.2,12.2,2013
9.5,48.8,172.9,64284.5,78.8,61902.2,7.5,80.2,83.3,21.15,CHE,,1575.3,,8433.5,11.4,2014
9.5,47.5,174.3,64222.8,79.2,63939,7.6,74.6,83,20.9,CHE,,1589.5,,8649.3,11.9,2015
9.3,46.2,171.8,64063.9,79.6,64323.9,7.5,54.1,83.7,21.45,CHE,,1589.7,,,11.2,2016
9.2,45.2,,63899.9,79.8,66395.8,7.5,54,83.6,21.4,CHE,41.8,1570,19.1,,,2017
7.4,,201.2,21967.2,56.3,16872.3,5.7,,77.5,17.5,CHL,,2128,,1461.6,11.8,2007
7.4,,198.4,22409.1,57.3,16447.3,5.8,,78.1,18.1,CHL,,2095,,1687.1,13.1,2008
7.2,39.4,206.5,24037.7,56.1,16119.9,6.5,,78.2,18.3,CHL,60,2074,29.8,1916.3,13.3,2009
7.6,,204.4,24960.8,59.3,18129.1,6.6,98.5,78,17.9,CHL,,2070,,1894.2,12.2,2010
7.1,39.9,202.2,25106.4,61.3,20302.8,6.5,98.5,78.7,18.4,CHL,,2047,,1900.2,12.3,2011
8.3,,201.8,25914.9,61.8,21446.5,6.6,98.5,78.7,18.25,CHL,,2024,,2003.3,11,2012
7.2,40.3,196.3,26583.8,62.3,22352.5,6.7,98.5,79.5,19.1,CHL,,2015,,2045.2,10.3,2013
7.9,,193.9,26803.5,62.2,22687.9,6.8,98,79.7,19.25,CHL,,1990,,2113.7,10.4,2014
7.9,42.4,193.2,26759.2,62.4,22593.3,6.5,97.7,79.9,19.45,CHL,48.3,1988,,2243.1,10.7,2015
7.9,,230.2,27655.3,62.2,22788.3,6.6,97.2,80.2,19.65,CHL,74.2,1974,24.5,2294.8,10.7,2016
,42.3,,26766.6,62.7,24180.8,6.3,97.3,,,CHL,,1954,,2282.7,,2017
3.9,,,,,6842.7,4.9,,74.6,,CHN,,,,,,2007
4.3,,,,,7609.3,4.8,,74.9,,CHN,,,,,,2008
4.9,,,,,8340.6,4.5,,75.1,,CHN,,,26.5,,,2009
5.8,14.8,,,,9290.3,4.7,99.9,75.3,,CHN,,,26.2,,,2010
5.7,,,,,10330.7,5,99.9,75.5,,CHN,,,,,,2011
5.7,,,,,11285.6,5.1,99.9,75.7,,CHN,,,25.5,,,2012
5.8,,,,,12290.3,5.2,99.9,75.8,,CHN,,,,,,2013
5.8,,,,,13349.5,5.2,99.9,76,,CHN,,,,,,2014
5.7,,,,,14350.4,5.3,99.9,76.2,,CHN,,,24.7,,,2015
5.7,,,,,15411.8,5.3,99.9,76.3,,CHN,,,,,,2016
,,,,,16633.1,5.1,99.9,76.5,,CHN,,,,,,2017
,,,,,,4.2,,,,CIV,,,,,,2009
,,,,,,,100,,,CIV,,,,,,2010
,,,,,,,100,,,CIV,,,,,,2011
,,,,,,,100,,,CIV,,,,,,2012
,,,,,,3.7,100,,,CIV,,,,,,2013
,,,,,,3.6,100,,,CIV,,,,,,2014
,,,,,,4.4,100,,,CIV,,,,,,2015
,,,,,,4.5,100,,,CIV,,,,,,2016
,,,,,,5,100,,,CIV,,,,,,2017
,,,,,,4.3,,,,CMR,,,,,,2007
