LOCATION;TIME;Pollution
MDG;2010;99.7
MDG;2011;99.7
MDG;2012;99.7
MDG;2013;99.7
MDG;2014;99.7
MDG;2015;99.7
MDG;2016;99.7
MDG;2017;99.7
MEX;2010;99.8
MEX;2011;99.9
MEX;2012;99.8
MEX;2013;99.8
MEX;2014;99.7
MEX;2015;99.7
MEX;2016;99.6
MEX;2017;99.6
MKD;2010;100
MKD;2011;100
MKD;2012;100
MKD;2013;100
MKD;2014;100
MKD;2015;100
MKD;2016;100
MKD;2017;100
MLI;2010;100
MLI;2011;100
MLI;2012;100
MLI;2013;100
MLI;2014;100
MLI;2015;100
MLI;2016;100
MLI;2017;100
MLT;2010;99.7
MLT;2011;99.7
MLT;2012;99.7
MLT;2013;99.7
MLT;2014;99.7
MLT;2015;99.7
MLT;2016;99.7
MLT;2017;99.7
MMR;2010;99.8
MMR;2011;99.8
MMR;2012;99.8
MMR;2013;99.8
MMR;2014;99.8
MMR;2015;99.8
MMR;2016;99.8
MMR;2017;99.8
MNE;2010;99.7
MNE;2011;99.7
MNE;2012;99.7
MNE;2013;99.7
MNE;2014;99.7
MNE;2015;99.7
MNE;2016;99.7
MNE;2017;99.7
MNG;2010;98.1
MNG;2011;98.4
MNG;2012;98
MNG;2013;97.3
MNG;2014;97.1
MNG;2015;97.8
MNG;2016;96.7
MNG;2017;96.7
MOZ;2010;99.8
MOZ;2011;99.8
MOZ;2012;99.8
MOZ;2013;99.8
MOZ;2014;99.8
MOZ;2015;99.8
MOZ;2016;99.8
MOZ;2017;99.8
MRT;2010;99.8
MRT;2011;99.8
MRT;2012;99.8
MRT;2013;99.8
MRT;2014;99.8
MRT;2015;99.8
MRT;2016;99.8
MRT;2017;99.8
MUS;2010;99.8
MUS;2011;99.8
MUS;2012;99.8
MUS;2013;99.8
MUS;2014;99.8
MUS;2015;99.8
MUS;2016;99.8
MUS;2017;99.8
MWI;2010;100
MWI;2011;100
MWI;2012;100
MWI;2013;100
MWI;2014;100
MWI;2015;100
MWI;2016;100
MWI;2017;100
MYS;2010;96.9
MYS;2011;97.2
MYS;2012;97.9
MYS;2013;93.8
MYS;2014;92.3
MYS;2015;93.5
MYS;2016;90.8
MYS;2017;90.7
NAM;2010;100
NAM;2011;100
NAM;2012;100
NAM;2013;100
NAM;2014;100
NAM;2015;100
NAM;2016;100
NAM;2017;100
NER;2010;100
NER;2011;100
NER;2012;100
NER;2013;100
NER;2014;100
NER;2015;100
NER;2016;100
NER;2017;100
NGA;2010;99.9
NGA;2011;99.9
NGA;2012;99.9
NGA;2013;99.9
NGA;2014;99.9
NGA;2015;99.9
NGA;2016;99.9
NGA;2017;99.9
NIC;2010;99.6
NIC;2011;99.6
NIC;2012;99.6
NIC;2013;99.6
NIC;2014;99.6
NIC;2015;99.6
NIC;2016;99.4
NIC;2017;99.4
NLD;2010;100
NLD;2011;100
NLD;2012;100
NLD;2013;99.9
NLD;2014;99.9
NLD;2015;99.8
NLD;2016;99.5
NLD;2017;99.5
NOR;2010;16.3
NOR;2011;31.2
NOR;2012;7.4
NOR;2013;3.9
NOR;2014;3.9
NOR;2015;3.8
NOR;2016;3.8
NOR;2017;3.8
NPL;2010;100
NPL;2011;100
NPL;2012;100
NPL;2013;100
NPL;2014;100
NPL;2015;100
NPL;2016;100
NPL;2017;100
NZL;2010;10.3
NZL;2011;10.7
NZL;2012;5.5
NZL;2013;1.4
NZL;2014;0.3
NZL;2015;0.3
NZL;2016;0
NZL;2017;0
OEC;2010;74.7
OEC;2011;77.6
OEC;2012;71
OEC;2013;68.4
OEC;2014;63.8
OEC;2015;63.3
OEC;2016;58.6
OEC;2017;58.7
OEC;2010;88.5
OEC;2011;89.9
OEC;2012;86.4
OEC;2013;85.1
OEC;2014;80.7
OEC;2015;81.4
OEC;2016;75.7
OEC;2017;75.7
OMN;2010;98.9
OMN;2011;98.9
OMN;2012;98.9
OMN;2013;98.9
OMN;2014;98.9
OMN;2015;98.9
OMN;2016;98.9
OMN;2017;98.9
PAK;2010;99.7
PAK;2011;99.7
PAK;2012;99.7
PAK;2013;99.7
PAK;2014;99.7
PAK;2015;99.7
PAK;2016;99.7
PAK;2017;99.7
PAN;2010;94.5
PAN;2011;95.4
PAN;2012;94.8
PAN;2013;92.2
PAN;2014;89.4
PAN;2015;87.6
PAN;2016;74.4
PAN;2017;73.6
PER;2010;98.5
PER;2011;98.5
PER;2012;98.5
PER;2013;98.5
PER;2014;98.5
PER;2015;98.4
PER;2016;98.4
PER;2017;98.4
PHL;2010;98.5
PHL;2011;98.5
PHL;2012;98.5
PHL;2013;98.1
PHL;2014;97.6
PHL;2015;97.9
PHL;2016;95.6
PHL;2017;95.2
PNG;2010;97.6
PNG;2011;97.6
PNG;2012;97.6
PNG;2013;97.6
PNG;2014;97.6
PNG;2015;97.6
PNG;2016;97.5
PNG;2017;97.5
POL;2010;100
