LOCATION,TIME,Average Wages,Hours worked,Education,Pollution,GDP,Happiness,Social spending,Employment rate,Alcohol,Smokers,Cancer,Suicide,LifeAtOld,LifeAtBirth,Obese
BRA,2009,29.8,,,,13343.5,7.0,,,7.2,14.3,160.7,5.5,17.7,73.5,
BRA,2010,,91.4,,,14382.8,6.8,,,7.4,14.1,162.3,5.4,17.8,73.9,
BRA,2011,31.7,92.3,,,15131.7,7.0,,,7.4,13.4,161.4,5.6,17.5,74.2,
BRA,2012,32.0,87.5,,,15572.8,6.7,,,7.3,12.1,162.0,5.8,17.9,74.5,
BRA,2013,32.7,85.9,,,16163.0,7.1,,,7.1,11.3,161.2,5.8,17.9,74.8,
BRA,2014,33.0,77.9,,,16396.2,7.0,,,7.2,8.7,160.3,5.7,18.1,75.0,
BRA,2015,34.1,75.5,,,15847.6,6.5,,,7.0,7.2,161.2,6.0,18.2,75.3,
BRA,2016,33.6,68.1,,,15385.8,6.4,,,6.3,10.2,,,,75.5,
BRA,2017,34.1,68.3,,,15651.4,6.3,,,,10.1,,,,75.7,
BRN,2010,,1.3,,,,,,,,,,,,,
BRN,2011,,1.3,,,,,,,,,,,,,
BRN,2012,,1.3,,,,,,,,,,,,,
BRN,2013,,0.0,,,,,,,,,,,,,
BRN,2014,,0.0,,,,,,,,,,,,,
BRN,2015,,0.0,,,,,,,,,,,,,
BRN,2016,,0.0,,,,,,,,,,,,,
BRN,2017,,0.0,,,,,,,,,,,,,
BTN,2010,,100.0,,,,,,,,,,,,,
BTN,2011,,100.0,,,,,,,,,,,,,
BTN,2012,,100.0,,,,,,,,,,,,,
BTN,2013,,100.0,,,,5.6,,,,,,,,,
BTN,2014,,100.0,,,,4.9,,,,,,,,,
BTN,2015,,100.0,,,,5.1,,,,,,,,,
BTN,2016,,100.0,,,,,,,,,,,,,
BTN,2017,,100.0,,,,,,,,,,,,,
BWA,2008,,,,,,5.5,,,,,,,,,
BWA,2010,,100.0,,,,3.6,,,,,,,,,
BWA,2011,,100.0,,,,3.5,,,,,,,,,
BWA,2012,,100.0,,,,4.8,,,,,,,,,
BWA,2013,,100.0,,,,4.1,,,,,,,,,
BWA,2014,,100.0,,,,4.0,,,,,,,,,
BWA,2015,,100.0,,,,3.8,,,,,,,,,
BWA,2016,,100.0,,,,3.5,,,,,,,,,
BWA,2017,,100.0,,,,3.5,,,,,,,,,
CAF,2007,,,,,,4.2,,,,,,,,,
CAF,2010,,100.0,,,,3.6,,,,,,,,,
CAF,2011,,100.0,,,,3.7,,,,,,,,,
CAF,2012,,100.0,,,,,,,,,,,,,
CAF,2013,,100.0,,,,,,,,,,,,,
CAF,2014,,100.0,,,,,,,,,,,,,
CAF,2015,,100.0,,,,,,,,,,,,,
CAF,2016,,100.0,,,,2.7,,,,,,,,,
CAF,2017,,100.0,,,,3.5,,,,,,,,,
CAN,2007,38.3,,43968.6,1744.0,39544.7,7.5,6608.4,73.5,8.3,18.2,221.8,10.6,"1,945",80.4,49.1
CAN,2008,38.3,,44810.3,1741.0,40378.0,7.5,6569.5,73.5,8.4,17.5,218.1,10.7,196,80.6,60.0
CAN,2008,38.3,,44810.3,1741.0,40378.0,7.5,6569.5,73.5,8.4,17.5,218.1,10.7,196,80.6,49.5
CAN,2009,38.2,,45309.0,1712.0,38896.0,7.5,7081.9,71.4,8.4,16.2,214.3,11.1,"1,975",80.8,50.0
CAN,2010,38.0,13.7,45502.6,1715.0,40106.2,7.7,7028.2,71.5,8.4,16.3,210.6,11.1,"1,995",81.1,58.6
CAN,2010,38.0,13.7,45502.6,1715.0,40106.2,7.7,7028.2,71.5,8.4,16.3,210.6,11.1,"1,995",81.1,50.6
